phy_code,year,sum_ap_year,sum_ap_t1,sum_ap_t2,sum_ap_t3
b1ae0752afe3,2018,55,3,22,30
9efa0928cc46,2018,91,2,42,47
19c60e032a41,2015,48,2,16,30
19c60e032a41,2016,2,1,0,1
f0071a76eb14,2014,879,4,648,227
f0071a76eb14,2015,1179,18,1074,87
f0071a76eb14,2016,397,6,370,21
f0071a76eb14,2017,511,26,460,25
5fd5961bf5c2,2014,773,8,658,107
5fd5961bf5c2,2015,684,15,554,115
5fd5961bf5c2,2016,883,6,756,121
5fd5961bf5c2,2017,792,13,696,83
5fd5961bf5c2,2018,1046,13,927,106
fcfac6d2e423,2014,284,25,211,48
fcfac6d2e423,2015,187,31,129,27
fcfac6d2e423,2016,124,16,69,39
fcfac6d2e423,2017,215,32,126,57
fcfac6d2e423,2018,245,39,171,35
c7ea8f6b49f2,2014,761,4,321,436
c7ea8f6b49f2,2015,729,9,281,439
c7ea8f6b49f2,2016,708,12,127,569
c7ea8f6b49f2,2017,800,12,245,543
c7ea8f6b49f2,2018,734,13,243,478
db14223c0788,2014,5,2,0,3
db14223c0788,2015,58,20,13,25
db14223c0788,2016,48,8,9,31
39e96ec73001,2018,1,0,0,1
4ceaa04ac4fa,2014,656,17,105,534
4ceaa04ac4fa,2015,606,8,94,504
4ceaa04ac4fa,2016,694,16,97,581
4ceaa04ac4fa,2017,745,10,161,574
4ceaa04ac4fa,2018,975,27,352,596
1644776f5ba8,2016,9,0,6,3
1644776f5ba8,2017,147,0,86,61
1644776f5ba8,2018,195,3,92,100
9617bcf1e90a,2016,7,2,0,5
9617bcf1e90a,2017,102,7,14,81
61ef30504a80,2014,301,4,221,76
61ef30504a80,2015,446,2,347,97
61ef30504a80,2016,187,2,149,36
750200b0f6ce,2016,145,1,25,119
750200b0f6ce,2017,463,14,93,356
750200b0f6ce,2018,338,13,67,258
ea36da923ab5,2014,160,1,16,143
ea36da923ab5,2015,203,7,29,167
ea36da923ab5,2016,288,25,98,165
ea36da923ab5,2017,279,22,52,205
ea36da923ab5,2018,210,18,67,125
8cc31f78fde5,2014,439,3,144,292
8cc31f78fde5,2015,372,4,116,252
8cc31f78fde5,2016,273,1,57,215
8cc31f78fde5,2017,352,2,115,235
8cc31f78fde5,2018,418,8,133,277
f1d561418110,2014,591,31,454,106
f1d561418110,2015,424,20,353,51
f1d561418110,2016,380,22,238,120
f1d561418110,2017,395,21,205,169
f1d561418110,2018,325,19,100,206
d9e4b9404405,2014,326,4,310,12
d9e4b9404405,2015,289,7,268,14
d9e4b9404405,2016,240,4,224,12
d9e4b9404405,2017,259,2,240,17
d9e4b9404405,2018,272,3,254,15
a7b53dc46495,2014,84,5,65,14
a7b53dc46495,2015,51,6,40,5
a7b53dc46495,2016,126,5,85,36
a7b53dc46495,2017,361,31,162,168
a7b53dc46495,2018,628,43,147,438
e26ce540ec16,2014,982,113,641,228
e26ce540ec16,2015,978,122,498,358
e26ce540ec16,2016,794,106,422,266
e26ce540ec16,2017,1059,147,652,260
e26ce540ec16,2018,1101,136,659,306
229252888298,2014,6,0,0,6
229252888298,2016,3,0,1,2
229252888298,2017,8,0,3,5
c64a143b91c4,2014,1147,27,109,1011
c64a143b91c4,2015,816,28,20,768
c64a143b91c4,2016,703,57,38,608
c64a143b91c4,2017,638,58,37,543
c64a143b91c4,2018,507,47,37,423
37622ed0d852,2014,898,17,626,255
37622ed0d852,2015,1081,37,879,165
37622ed0d852,2016,1038,32,906,100
37622ed0d852,2017,921,50,804,67
37622ed0d852,2018,1188,85,994,109
d5f6d9cb0440,2017,815,34,373,408
d5f6d9cb0440,2018,1272,45,610,617
c727ed9fcc5f,2017,107,12,77,18
c727ed9fcc5f,2018,216,6,182,28
c29b2f28b49b,2016,374,14,49,311
c29b2f28b49b,2017,312,31,72,209
c29b2f28b49b,2018,268,27,56,185
5d1cdc8aabd1,2014,120,4,73,43
5d1cdc8aabd1,2015,24,0,8,16
4569a54e3b2a,2014,400,6,352,42
4569a54e3b2a,2015,531,7,473,51
4569a54e3b2a,2016,928,36,819,73
4569a54e3b2a,2017,645,20,563,62
4569a54e3b2a,2018,568,6,532,30
